algorithm,dataset,reference_rows,hv,spread,igd,mdh,output_file
AGEMOEA2,Scrum100k.csv,23,0.7361587301587303,0.7358464282624978,0.025362318840579715,0.9955513737486376,outputs\pass3\AGEMOEA2\Scrum100k.csv
CTAEA,Scrum100k.csv,23,0.7247830687830691,0.7075917374719115,0.04969495192553055,0.977351923515255,outputs\pass3\CTAEA\Scrum100k.csv
NSGA2,SS-N.csv,8,1.1759210385222398,0.6282352900596122,0.11019814632195794,0.448496227249286,outputs\pass3\NSGA2\SS-N.csv
MOEAD,SS-N.csv,8,1.0216406372096647,0.8168873847776926,0.10157810504447824,0.6604895989583899,outputs\pass3\MOEAD\SS-N.csv
NSGA3,SS-N.csv,8,1.1181938317153524,0.8459557809255044,0.12364499662407456,0.5777544760570115,outputs\pass3\NSGA3\SS-N.csv
UNSGA3,SS-N.csv,8,1.1560446128453603,0.7251367133166321,0.11930588694834615,0.4796801119767219,outputs\pass3\UNSGA3\SS-N.csv
RNSGA3,SS-N.csv,8,1.1824194907817187,0.7330001739348528,0.11448688143986667,0.4732038432869368,outputs\pass3\RNSGA3\SS-N.csv
RVEA,SS-N.csv,8,0.7301214850378586,0.5970445327114688,0.025936579420401503,0.8468359162833906,outputs\pass3\RVEA\SS-N.csv
AGEMOEA,SS-N.csv,8,1.1759210385222398,0.6282352900596122,0.11019814632195794,0.4484962272492859,outputs\pass3\AGEMOEA\SS-N.csv
AGEMOEA2,SS-N.csv,8,1.1759210385222398,0.6282352900596122,0.11019814632195794,0.4484962272492859,outputs\pass3\AGEMOEA2\SS-N.csv
CTAEA,SS-N.csv,8,1.14783390966222,0.6656172700982825,0.1300830626839506,0.5073772420802726,outputs\pass3\CTAEA\SS-N.csv
NSGA2,SS-W.csv,2,0.7154052780825854,0.6393823169906538,0.16807942227544068,0.7206487730027802,outputs\pass3\NSGA2\SS-W.csv
MOEAD,SS-W.csv,2,0.010000000000000018,,1.1195839298985684,1.4142135623730951,outputs\pass3\MOEAD\SS-W.csv
NSGA3,SS-W.csv,2,0.7154052780825854,0.639382316990654,0.16807942227544068,0.7206487730027802,outputs\pass3\NSGA3\SS-W.csv
UNSGA3,SS-W.csv,2,0.7154052780825854,0.639382316990654,0.16807942227544068,0.7206487730027802,outputs\pass3\UNSGA3\SS-W.csv
RNSGA3,SS-W.csv,2,0.11000000000000011,,1.0419842983769578,1.0,outputs\pass3\RNSGA3\SS-W.csv
RVEA,SS-W.csv,2,1.1764960013607784,0.6748175437163436,0.0,0.5550018181682984,outputs\pass3\RVEA\SS-W.csv
AGEMOEA,SS-W.csv,2,0.7154052780825854,0.6393823169906538,0.16807942227544068,0.7206487730027802,outputs\pass3\AGEMOEA\SS-W.csv
AGEMOEA2,SS-W.csv,2,0.7154052780825854,0.6393823169906538,0.16807942227544068,0.7206487730027802,outputs\pass3\AGEMOEA2\SS-W.csv
CTAEA,SS-W.csv,2,0.7154052780825854,0.6393823169906538,0.16807942227544068,0.7206487730027802,outputs\pass3\CTAEA\SS-W.csv
NSGA2,SS-X.csv,3,0.8773226396981993,0.9740690536373112,0.21574177861373647,0.7428170969945361,outputs\pass3\NSGA2\SS-X.csv
MOEAD,SS-X.csv,3,0.3105537346552394,1.344992038728348,0.27583454972687815,0.9497231326723804,outputs\pass3\MOEAD\SS-X.csv
NSGA3,SS-X.csv,3,0.8773226396981993,0.9740690536373112,0.21574177861373647,0.7428170969945361,outputs\pass3\NSGA3\SS-X.csv
UNSGA3,SS-X.csv,3,0.8773226396981993,0.9740690536373112,0.21574177861373647,0.7428170969945361,outputs\pass3\UNSGA3\SS-X.csv
RNSGA3,SS-X.csv,3,0.11000000000000011,,0.6986182715321646,1.0,outputs\pass3\RNSGA3\SS-X.csv
RVEA,SS-X.csv,3,1.2097240103737328,0.5575909451927105,0.0055570819172877555,0.37725681834325797,outputs\pass3\RVEA\SS-X.csv
AGEMOEA,SS-X.csv,3,0.8773226396981993,0.9740690536373112,0.21574177861373647,0.7428170969945361,outputs\pass3\AGEMOEA\SS-X.csv
AGEMOEA2,SS-X.csv,3,0.8773226396981993,0.9740690536373112,0.21574177861373647,0.7428170969945361,outputs\pass3\AGEMOEA2\SS-X.csv
CTAEA,SS-X.csv,3,0.8773226396981993,0.9740690536373112,0.21574177861373647,0.7428170969945361,outputs\pass3\CTAEA\SS-X.csv
